State,StateCode,County,Establishment,Address,City,ZIP,Phone,LastInspection,Priority,InspectionURL,LastUpdated
New York,NY,Steuben,Avoca Central School,17-29 Oliver Street,Avoca,14809,,2025-07-23,High,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Westchester,Tlaquepaque,347 North Avenue,New Rochelle,10801,,2025-10-16,High,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Westchester,Salesian H.S. - Cafeteria,148 Main Street,New Rochelle,10801,,2025-04-04,High,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Westchester,Sammy'S Ny Bagels,110 Centre Avenue,New Rochelle,10801,,2025-09-29,High,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Onondaga,Aloha Krab Cajun Seafood Boil & Bar,10449 Destiny Usa Drive,Syracuse,13204,,2026-05-01,High,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Westchester,Regal New Roc,33 Lecount Place,New Rochelle,10801,,2025-03-31,High,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Delaware,French Woods Festival,199 Bouchoux Brook Road,Hancock,13783,,2025-07-22,High,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Ulster,"Woodstock Pub, The",17 Mill Hill Road,Woodstock,12498,,2026-04-10,High,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Greene,Greenvilleland Llc,150 Ingalside Road,Greenville,12083,,2025-07-23,High,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Greene,Grace Manor Christian Center,907 Red Mill Road,Greenville,12083,,2025-06-24,High,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
Indiana,IN,Hamilton,5 de Mayo Mexican Restaurant,100 W. Main Street,Arcadia,,,2023,High,https://hamiltoncounty.in.gov/HealthOnline,2026-06-30
Indiana,IN,Hamilton,Amber Indian Restaurant,12510 N. Meridian Street,Carmel,,,2023,High,https://hamiltoncounty.in.gov/HealthOnline,2026-06-30
Indiana,IN,Hamilton,Asian Grill,74 N. 9th Street,Noblesville,,,2023,High,https://hamiltoncounty.in.gov/HealthOnline,2026-06-30
Indiana,IN,Hamilton,Biryani Hut,14350 Mundy Drive Suite #700,Noblesville,,,2023,High,https://hamiltoncounty.in.gov/HealthOnline,2026-06-30
Indiana,IN,Hamilton,La Cascada,400 W. Jackson St,Cicero,,,2023,High,https://hamiltoncounty.in.gov/HealthOnline,2026-06-30
Indiana,IN,Hamilton,New China Buffet,17429 Carey Road,Westfield,,,2023,High,https://hamiltoncounty.in.gov/HealthOnline,2026-06-30
Indiana,IN,Hamilton,Papa Fattoush Restaurant,15 E Main Street,Carmel,,,2023,High,https://hamiltoncounty.in.gov/HealthOnline,2026-06-30
Indiana,IN,Hamilton,Red Habanero,16771 Clover Road,Noblesville,,,2023,High,https://hamiltoncounty.in.gov/HealthOnline,2026-06-30
Indiana,IN,Hamilton,Westfield High School,,Westfield,46074,,2023,High,https://hamiltoncounty.in.gov/HealthOnline,2026-06-30
New York,NY,Sullivan,Mezcla Deli Corp.,10  School  Street,Liberty,12754,,2026-02-04,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Westchester,Ridgeway School,225 Ridgeway,White Plains,10605,,2026-02-12,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Orange,Subway/Auntie Ann'S,470 Route 211 East,Middletown,10940,,2026-05-26,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Clinton,Nccs-Jr./Sr. High School Caferteria,103 State Route 276,Champlain,12919,,2026-05-18,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Chautauqua,Jack'S Barcelona Drive-In,Po Box 101,Westfield,14787,,2026-01-23,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Otsego,Sip & Sail Tavern,80 Water Street,Oneonta,13820,,2025-05-13,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Albany,Cohoes Multi-Service Senior Ctr.,10 Cayuga Plaza,Cohoes,12047,,2026-01-09,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Montgomery,Iroquois Lanes,192 Erie Boulevard,Canajoharie,13317,,2026-05-13,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Jefferson,Liola'S Pizzeria,506   Alexandria Street,Carthage,13619,,2025-09-05,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Sullivan,Chezky'S Pizza Llc,14 Green Unit 1 Avenue,Woodridge,12789,,2025-07-31,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Onondaga,Su Goldstein Student Center Dining,Skytop Road,Syracuse,13244,,2026-04-23,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Tompkins,Sicilian Delight Pizzeria,40 Catherwood Road,Ithaca,14850,,2026-06-02,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Otsego,J & D'S Wagon Wheel,4918 State Hwy 28,Cooperstown,13326,,2025-06-11,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Sullivan,Barryville Hotel,45 Yulan Barryville Rd,Barryville,12719,,2026-04-02,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Jefferson,Tarwater'S Twists-The Blizzard Barn,27957 East Nys Route 342,Black River,13612,,2025-06-16,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Nassau,Bagel Mentch,176 Middle Neck  Road,Great Neck,11021,,2025-05-14,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Greene,Good Tidings Fellowship,739 Sutton Road,Cornwallville,12418,,2024-08-23,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Westchester,Ossining Nutrition Center,95 Broadway,Ossining,10562,,2026-04-29,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Westchester,El Rey Del Monfongo & Bistec Restaur,136 Elm Street,Yonkers,10701,,2025-10-28,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Fulton,Starlite Lanes,9 Montgomery  Street,Gloversville,12078,,2024-08-22,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Westchester,Froggy'S Ii,253 Route 100,Somers,10589,,2026-01-10,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Onondaga,York (The),247 West Fayette Street,Syracuse,13202,,2025-11-19,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Niagara,Newfane Elementary School,2909 Transit Road,Newfane,14108,,2026-03-04,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Chemung,Roundin' Third Sports Grill,255 West Water Street,Elmira,14901,,2026-03-25,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Nassau,Bagel House,2664 Long Beach  Road,Oceanside,11572,,2025-10-31,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Nassau,Lotus Garden,345 Conklin Street,Farmingdale,11735,,2026-02-13,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Chemung,Elmira High School Cafeteria,777 South Main Street,Elmira,14904,,2026-03-02,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Nassau,Hofstra University - Au Bon Pain,116 Hofstra University,Hempstead,11550,,2024-04-19,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Greene,Windham Mountain Inn,137 County Route 12,Windham,12496,,2024-11-05,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Ulster,Pasquale'S Pizza & Restaurant,248 Main Street,New Paltz,12561,,2026-03-13,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Chautauqua,The Cooler Bar & Grill,114 West Main Street,Sherman,14781,,2026-03-12,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Westchester,Puebla Corner,49 Lake Street,White Plains,10604,,2026-05-28,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Sullivan,Yiasou,1980 State Route 52,Liberty,12754,,2025-09-09,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Westchester,No. 1 Kitchen He,Route 6 And Lee Boulevard,Jefferson Valley,10535,,2025-10-10,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Sullivan,Sullivan West-Jeffersonville Campus,33 Schoolhouse Road,Jeffersonville,12748,,2026-01-23,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Genesee,Taco Bell (Store 17313),413 West Main Street,Batavia,14020,,2026-01-26,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Warren,Biscotti Brothers Cafe,One Canada Street,Lake George,12845,,2025-06-13,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Sullivan,Camp Mayin Tohar - Fallsburg,605 Budd  Road,Woodbourne,12788,,2025-08-11,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Niagara,Betty'S Grill,215 Main Street,North Tonawanda,14120,,2026-06-24,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Cortland,Auxiliary Services Corp.,15 Neubig Rd.,Cortland,13045,,2026-05-08,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
