State,StateCode,County,Establishment,Address,City,ZIP,Phone,LastInspection,Priority,InspectionURL,LastUpdated
New York,NY,Steuben,Avoca Central School,17-29 Oliver Street,Avoca,14809,,7/23/2025,High,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Westchester,Tlaquepaque,347 North Avenue,New Rochelle,10801,,10/16/2025,High,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Westchester,Salesian H.S. - Cafeteria,148 Main Street,New Rochelle,10801,,4/4/2025,High,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Westchester,Sammy'S Ny Bagels,110 Centre Avenue,New Rochelle,10801,,9/29/2025,High,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Onondaga,Aloha Krab Cajun Seafood Boil & Bar,10449 Destiny Usa Drive,Syracuse,13204,,5/1/2026,High,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Westchester,Regal New Roc,33 Lecount Place,New Rochelle,10801,,3/31/2025,High,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Delaware,French Woods Festival,199 Bouchoux Brook Road,Hancock,13783,,7/22/2025,High,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Ulster,"Woodstock Pub, The",17 Mill Hill Road,Woodstock,12498,,4/10/2026,High,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Greene,Greenvilleland Llc,150 Ingalside Road,Greenville,12083,,7/23/2025,High,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Greene,Grace Manor Christian Center,907 Red Mill Road,Greenville,12083,,6/24/2025,High,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
Indiana,IN,Hamilton,5 de Mayo Mexican Restaurant,100 W. Main Street,Arcadia,,,2023,High,https://hamiltoncounty.in.gov/HealthOnline,6/30/2026
Indiana,IN,Hamilton,Amber Indian Restaurant,12510 N. Meridian Street,Carmel,,,2023,High,https://hamiltoncounty.in.gov/HealthOnline,6/30/2026
